Naslov,Album,Izvođači,Godina_objavljivanja,Žanrovi,Trajanje_(s),Izdavačka_kuća,Jezik,Autori,Producenti
Billie Jean,Thriller,Michael Jackson,1983,"pop, R&B",297,Epic,engleski,Michael Jackson,"Quincy Jones, Michael Jackson"
Bohemian Rhapsody,A Night at the Opera,Queen,1975,rock,355,EMI,engleski,Freddie Mercury,Roy Thomas Baker
Čarobno jutro,Ljubav,Nina Badrić,2003,pop,175,Aquarius Records,hrvatski,"Daniel Troha, Sandra Sagena, Nina Badrić",Daniel Troha
Hotel California,Hotel California,Eagles,1976,rock,390,Asylum Records,engleski,"Don Felder, Don Henley, Glenn Frey",Bill Szymczyk
Mi plešemo,Crno-bijeli svijet,Prljavo Kazalište,1980,"new wave, rock",271,Suzy,hrvatski,Jasenko Houra,Ivan Stančić
Moja štikla,Moja štikla / Moj sokole (EP),Severina,2006,"pop, folk",178,Dallas Records,hrvatski,"Boris Novković, Franjo Valentić, Severina Vučković",Goran Bregović
One Kiss,single,"Calvin Harris, Dua Lipa",2018,"house, electronic",214,Columbia,engleski,"Adam Wiles, Dua Lipa, Jessie Reyez",Calvin Harris
Someone Like You,21,Adele,2011,"soul, pop",285,XL Recordings,engleski,"Adele Adkins, Dan Wilson",Dan Wilson
Ti si mi u mislima,Dino Dvornik,Dino Dvornik,1989,"funk, pop rock",257,Jugoton,hrvatski,"Dino Dvornik, Goran Kralj",Dino Dvornik
Zamisli život u ritmu muzike za ples,Novo! Novo! Novo!,"Film, Jura Stublić",1981,"rock, new wave",240,Jugoton,hrvatski,Jura Stublić,Boris Bele
